#{"t_start": 1770891971.5386417, "env_id": "None"}
r,l,t
-82444.66,9901,237.890622
-80939.62,9901,237.890712
-78225.77,9901,237.890723
-73082.13,9901,237.89073
-73310.77,9901,237.890736
-68958.86,9901,237.890742
-64593.47,9901,237.890747
-65928.66,9901,237.890752
-57155.918,9901,237.890757
-75874.13,9901,237.890762
-86070.266,9901,237.890767
-66181.984,9901,237.890772
-81438.42,9901,237.890777
-74428.69,9901,237.890781
-68777.57,9901,237.890787
-76463.37,9901,237.890791
-55361.984,9901,237.890796
-66070.79,9901,237.8908
-77382.586,9901,237.890805
-67818.9,9901,237.89081
-77919.555,9901,237.890815
-65722.21,9901,237.89082
-59859.69,9901,237.890824
-64461.805,9901,237.89083
-80361.734,9901,237.890834
-86390.58,9901,237.890839
-80074.234,9901,237.890844
-62073.496,9901,237.890849
-76342.516,9901,237.890854
-63339.875,9901,237.890858
-81590.59,9901,237.890864
-66532.61,9901,237.890869
-83852.61,9904,471.127218
-68401.46,9904,471.127286
-65653.7,9904,471.127297
-63044.164,9904,471.127306
-58167.91,9904,471.127313
-60173.086,9904,471.127321
-76810.49,9904,471.127327
-67032.06,9904,471.127335
-76791.84,9904,471.127342
-79607.414,9904,471.127349
-73178.85,9904,471.127356
-63786.31,9904,471.127362
-66095.45,9904,471.127369
-78824.55,9904,471.127376
-57013.54,9904,471.127383
-79848.72,9904,471.12739
-75323.03,9904,471.127397
-89486.43,9904,471.127404
-71539.68,9904,471.127411
-78914.44,9904,471.127417
-72865.76,9904,471.127424
-70812.72,9904,471.127432
-67612.336,9904,471.127437
-62527.684,9904,471.127442
-80527.06,9904,471.127448
-60549.953,9904,471.127455
-124103.37,9904,471.127461
-62699.215,9904,471.127466
-53143.6,9904,471.127472
-76532.66,9904,471.127477
-100346.7,9904,471.127483
-77744.38,9904,471.127489
-139317.48,9219,686.720535
-102.44854,1,687.09192
-71817.78,9632,697.073725
-84563.03,9906,705.064584
-55073.81,9906,705.064648
-75583.68,9906,705.064659
-56972.934,9906,705.064665
-64632.945,9906,705.06467
-84073.15,9906,705.064676
-69169.77,9906,705.064681
-67877.586,9906,705.064686
-169076.5,9906,705.064692
-68044.9,9906,705.064697
-52649.625,9906,705.064702
-76023.54,9906,705.064707
-70682.016,9906,705.064713
-81849.41,9906,705.064718
-63064.715,9906,705.064723
-51825.547,9906,705.064729
-168215.55,9906,705.064734
-77247.38,9906,705.064739
-90226.78,9906,705.064744
-63835.84,9906,705.064749
-63852.695,9906,705.064754
-94283.15,9906,705.064759
-88151.24,9906,705.064764
-54025.86,9906,705.064769
-58485.215,9906,705.064774
-56147.426,9906,705.06478
-57995.41,9906,705.064785
-66467.25,9906,705.06479
-60092.25,9906,705.064795
-77014.734,9906,705.0648
-84.61922,1,705.403197
-131044.93,5584,836.327831
-111934.57,7074,871.845593
-138791.22,7683,886.573823
-59385.82,8263,900.478879
-63840.78,9909,923.455076
-180629.67,9909,933.38534
-77000.25,9909,940.849612
-65644.88,9909,940.849688
-72774.7,9909,940.849699
-61976.105,9909,940.849706
-81816.445,9909,940.849713
-56380.54,9909,940.849719
-218580.33,9909,940.849726
-127042.19,9909,940.849732
-132424.97,9909,940.849738
-49365.656,9909,940.849744
-83653.03,9909,940.849751
-63619.48,9909,940.849756
-63490.938,9909,940.849763
-68749.5,9909,940.849769
-75445.81,9909,940.849775
-95474.46,9909,940.84978
-66443.375,9909,940.849787
-62487.727,9909,940.849794
-61409.254,9909,940.8498
-178187.38,9909,940.849806
-68629.36,9909,940.849812
-54536.945,9909,940.849818
-56418.348,9909,940.849824
-72843.05,9909,940.84983
-120342.7,9909,940.849836
-74505.305,9909,941.179477
-44694.223,4781,1053.423327
-63204.793,9910,1072.778708
-118771.85,6449,1093.522345
-49253.266,9911,1108.420511
-86.41975,1,1108.763153
-114490.54,7347,1115.401078
-113057.9,9911,1123.67929
-67326.76,9911,1137.354181
-65884.28,8333,1139.283546
-65897.125,9911,1160.634011
-100727.76,9412,1165.240804
-68356.11,9911,1170.86817
-143011.31,9911,1178.012154
-220279.84,9911,1178.012213
-85171.32,9911,1178.012223
-140366.81,9911,1178.012229
-123391.29,9911,1178.012235
-56724.688,9911,1178.012241
-48537.74,9911,1178.012259
-76914.734,9911,1178.012265
-58596.477,9911,1178.012271
-92631.945,9911,1178.012275
-243971.31,9911,1178.01228
-53904.867,9911,1178.012284
-64846.574,9911,1178.012288
-191743.4,9911,1178.012292
-57034.785,9911,1178.012296
-61684.5,9911,1178.326721
-66820.87,10001,1180.736293
-70822.02,10001,1180.736344
-320792.94,10001,1180.736352
-51563.496,10001,1180.736358
-103615.734,10001,1180.736362
-67926.875,9912,1291.04664
-118140.74,5291,1303.445651
-96221.164,9913,1310.403875
-83.39415,1,1310.743589
-175967.89,8066,1316.965013
-107080.484,9913,1331.527507
-56841.82,9913,1346.525463
-75269.055,7184,1349.225724
-78869.89,9804,1350.802436
-63244.812,9913,1376.909115
-64353.51,10001,1377.640778
-58533.777,9913,1398.328178
-60256.395,9914,1402.996129
-237118.16,9914,1408.513245
-53857.176,9914,1415.562389
-126197.87,9914,1415.562443
-134318.23,9914,1415.562451
-63969.184,9914,1415.562457
-198129.69,9914,1415.562462
-94705.55,9914,1415.562468
-64450.32,9914,1415.562473
-64669.812,9914,1415.562478
-139196.52,9914,1415.562484
-54790.746,9914,1415.56249
-158996.16,9914,1415.562494
-53990.195,9914,1415.861965
-80584.984,10001,1418.104526
-116916.734,10001,1418.104599
-86.93779,1,1418.408985
-58977.027,9914,1418.760257
-78552.08,9914,1418.760317
-62778.133,9914,1418.760324
-114779.33,9914,1418.760329
-47010.14,9914,1418.760334
-84.178696,1,1419.058965
-161877.53,5988,1494.223845
-91.82026,1,1494.245265
-52225.008,9915,1529.182996
-77416.734,5097,1538.97539
-70792.234,9915,1541.428219
-132804.72,5379,1543.47711
-61677.74,9915,1548.816924
-49944.25,9915,1554.999884
-128563.86,7645,1561.015239
-136830.44,9915,1569.614909
-89083.36,6590,1573.18956
-71904.445,9915,1584.928961
-75632.84,9915,1587.7224
-65521.883,9916,1615.01597
-278801.9,8992,1630.649146
-180196.83,9916,1636.21847
-96.54794,1,1636.241537
-96.496185,1,1636.581074
-47791.312,9916,1641.171988
-241139.12,9430,1641.448083
-125748.68,9916,1646.68249
-56891.496,9916,1653.53036
-62692.133,9916,1653.53042
-275499.4,9916,1653.530428
-91785.67,9916,1653.530435
-191735.19,9916,1653.53044
-68754.49,9916,1653.530446
-53269.17,9916,1653.530451
-60620.43,9916,1653.530456
-96.562584,1,1653.853066
-59862.83,9916,1656.092593
-49732.082,9916,1656.436085
-65090.008,9916,1656.436169
-58534.016,9916,1656.436176
-85.19462,1,1656.729812
-59607.074,9916,1656.729867
-91.96538,1,1657.020009
-56761.16,10001,1658.836737
-54473.348,7197,1728.309491
-91557.09,10001,1734.877182
-83.06494,1,1735.201809
-58983.31,3487,1739.312615
-53991.47,3535,1740.416025
-81.893814,1,1740.746601
-169736.64,7506,1765.731409
-66354.68,9917,1768.639263
-45557.395,4973,1773.41597
-67095.02,5525,1775.217485
-42148.79,9917,1778.916491
-199127.89,9110,1781.343121
-107964.445,10001,1783.838314
-93253.53,10001,1786.172483
-45331.266,9917,1789.358064
-86028.32,10001,1811.794264
-92505.125,9918,1813.3471
-142158.19,6618,1816.263091
-86131.0,9918,1827.75838
-204852.12,9918,1854.990311
-246286.42,8407,1859.056183
-58020.645,9918,1870.934899
-248156.44,9918,1876.774019
-150278.6,9918,1881.349503
-73947.86,9918,1886.952478
-116180.086,9919,1893.737247
-59675.266,9919,1893.737299
-141046.73,9919,1893.737308
-124176.67,9919,1893.737314
-49515.473,9919,1893.737319
-57768.035,9919,1893.737325
-42551.312,9919,1893.759002
-105.42585,1,1893.781276
-65558.42,9919,1896.122687
-55351.44,10001,1900.332322
-79233.96,6996,1909.970698
-125640.27,7972,1922.118791
-44384.89,5391,1957.432025
-63204.59,7565,1966.175916
-58265.723,9919,1975.34019
-124716.02,9919,1980.813558
-84905.625,4314,1997.326865
-95767.68,4106,1998.410319
-101539.0,9920,2005.879897
-148523.36,9920,2008.859412
-114075.0,9920,2013.541044
-62899.484,9920,2015.330271
-50458.79,9920,2018.988184
-178124.19,9920,2021.193774
-95.60967,1,2021.516944
-101754.83,5293,2022.012974
-216952.08,9920,2026.262396
-46541.39,9920,2029.452348
-237982.19,9747,2048.962957
-110432.07,7130,2049.795446
-64540.684,9920,2052.202495
-119429.54,9920,2056.41896
-101383.17,9921,2094.968834
-305618.06,9921,2098.935795
